id,complaint_percentile,unit,is_sup,pagerank
11332,18.7116,Juvenile Intervention Support Center (Jisc),1,6.281494876
16127,16.2164,Technology And Records Group,1,6.281494876
23764,21.2946,Medical Section,1,6.281494876
14595,18.2301,Oemc - Detail Section,1,6.281494876
23543,82.1711,District Reinstatement Unit,1,3.577648432
30568,60.7428,Transit Security Unit,1,2.98695629
23836,51.4692,Bureau Of Organized Crime,1,2.98695629
7611,34.5917,Reproduction And Graphic Arts Section,1,2.812028556
13403,26.8274,Traffic Court Unit,1,2.812028556
7665,30.9809,Information Services Division,1,2.718745561
9970,97.9863,Evidence And Recovered Property Section,1,2.635852011
24995,59.5201,Forensic Services Evidence Technician Section,1,2.606080975
20533,56.1499,District 024,1,2.595130149
28348,57.323,Human Resources Division,1,2.567709291
2945,68.4116,Police Documents Section,1,2.481536545
25661,62.7756,Marine Operations Unit,1,2.414344643
25482,31.5884,Professional Counseling Division,1,2.414344643
32228,67.5328,Vice & Asset Forfeiture Division,1,2.345501632
14630,98.2805,District 005,1,2.341790823
16870,49.7115,Mounted Unit,1,2.294410842
20271,70.3068,Bureau Of Patrol - Area South,1,2.212866346
5484,47.8163,Management And Labor Affairs Section,1,2.190823504
16605,63.4213,Inspection Division,1,2.129411566
15995,56.9371,Youth Investigation Division,1,2.112864667
30332,54.2318,Bureau Of Internal Affairs,1,2.094288714
32109,35.077,Asset Forfeiture Investigation Section,1,2.036551491
8672,32.1768,Field Services Section,1,1.966798715
7260,63.8073,Alternate Response Section,1,1.965532877
15368,92.4497,District 012,1,1.960034623
16486,18.2301,District 016,1,1.9523859
7061,45.4473,Canine Unit,1,1.9523859
4131,49.9026,Special Investigations Unit,1,1.923507942
10170,88.3077,District 009,1,1.915105142
14192,73.1382,Research And Development Division,1,1.913075723
12479,97.8258,Detective Area - South,1,1.897763542
4077,40.052,Bureau Of Support Services,1,1.854156731
15619,28.0005,Troubled Building Unit,1,1.853625756
11433,45.2295,District 022,1,1.853625756
7754,62.7756,Bomb Squad,1,1.819093375
24996,88.8808,Bureau Of Patrol - Area Central,1,1.80754865
22077,63.5016,Court Section,1,1.758253597
15592,95.3231,Special Weapons And Tactics (Swat) Unit,1,1.745554515
27570,48.634,Office Of News Affairs,1,1.7428728
27274,87.1232,Central Investigations Division,1,1.714856153
18434,78.0635,Forensic Services Division,1,1.703027542
14684,88.1395,Public Transportation Section,1,1.688744332
14808,24.8596,District 001,1,1.66146786
981,36.9417,Traffic Section,1,1.652414774
3706,31.5884,Education And Training Division,1,1.644617997
7253,62.6189,District 006,1,1.629521962
30180,61.9579,District 007,1,1.629175621
4620,50.4681,District 003,1,1.623182964
29225,84.7503,Detective Area - Central,1,1.615843916
3709,33.1703,Crime Control Strategies Section,1,1.594458539
20782,48.4238,Airport Law Enforcement Section - North,1,1.586095166
22393,81.4298,Records Inquiry Section,1,1.565143296
16576,70.5743,Detached Services - Miscellaneous Detail,1,1.563665186
29215,70.3068,District 010,1,1.563394479
7471,85.3043,Detective Area - North,1,1.536507452
674,52.6919,Arson Section,1,1.531862202
27392,86.8366,Detail Unit,1,1.529093747
23492,94.2952,Gang Enforcement - Area South,1,1.512939266
8026,78.7933,District 025,1,1.505299753
25319,81.7202,District 004,1,1.488910056
319,51.1788,Office Of The First Deputy Superintendent,1,1.488633073
8780,57.9382,Legal Affairs Section,1,1.486502606
12478,99.5529,Special Activities Section,1,1.483270201
4362,34.3472,District 019,1,1.479419655
16617,93.7756,District 020,1,1.47854085
32098,43.9456,Gang Investigation Division,1,1.470434278
6792,90.2105,District 018,1,1.469992895
32340,16.1056,Special Functions Division,1,1.449666292
