officer_id,officer_complaint_percentile,officer_unit_id,officer_unit_description,officer_unit_name,supervisor_id,supervisor_complaint_percentile,supervisor_unit_id,supervisor_unit_description,supervisor_unit_name,allegation_id
35,20.0347,7,District 006,006,30710,81.6094,3,District 002,002,152599
29,31.7489,35,Airport Law Enforcement Section - North,050,12478,99.5529,188,Special Activities Section,441,146320
65,93.2139,18,District 017,017,14808,24.8596,2,District 001,001,162493
65,93.2139,18,District 017,017,27274,87.1232,204,Central Investigations Division,606,162493
111,77.1636,12,District 011,011,6792,90.2105,19,District 018,018,140676
124,62.3858,23,District 022,022,12478,99.5529,188,Special Activities Section,441,146320
140,54.2318,107,Bureau Of Patrol,142,5484,47.8163,88,Management And Labor Affairs Section,129,131170
143,74.9761,6,District 005,005,13273,95.8122,173,Gang Enforcement - Area Central,311,166188
183,84.4675,5,District 004,004,6792,90.2105,19,District 018,018,64703
183,84.4675,5,District 004,004,31984,90.1876,193,Detached Services - Goverment Security,542,64703
200,64.0166,11,District 010,010,15368,92.4497,13,District 012,012,9657
220,70.1078,2,District 001,001,12478,99.5529,188,Special Activities Section,441,146320
229,77.1885,11,District 010,010,8026,78.7933,26,District 025,025,179193
258,68.9771,36,Airport Law Enforcement Section - South,051,12478,99.5529,188,Special Activities Section,441,146320
319,51.1788,105,Office Of The First Deputy Superintendent,140,319,51.1788,105,Office Of The First Deputy Superintendent,140,152890
319,51.1788,105,Office Of The First Deputy Superintendent,140,319,51.1788,105,Office Of The First Deputy Superintendent,140,137164
319,51.1788,105,Office Of The First Deputy Superintendent,140,8026,78.7933,26,District 025,025,137164
319,51.1788,105,Office Of The First Deputy Superintendent,140,319,51.1788,105,Office Of The First Deputy Superintendent,140,124747
319,51.1788,105,Office Of The First Deputy Superintendent,140,319,51.1788,105,Office Of The First Deputy Superintendent,140,164673
319,51.1788,105,Office Of The First Deputy Superintendent,140,319,51.1788,105,Office Of The First Deputy Superintendent,140,132977
319,51.1788,105,Office Of The First Deputy Superintendent,140,319,51.1788,105,Office Of The First Deputy Superintendent,140,136069
326,58.4311,16,District 015,015,4620,50.4681,4,District 003,003,88801
395,72.6797,12,District 011,011,25661,62.7756,42,Marine Operations Unit,059,56308
406,75.6448,3,District 002,002,30710,81.6094,3,District 002,002,53709
417,79.0085,155,Asset Forfeiture Investigation Section,196,7471,85.3043,215,Detective Area - North,630,124141
429,79.7486,182,Juvenile Intervention Support Center (Jisc),384,20533,56.1499,25,District 024,024,161084
441,71.4280,13,District 012,012,12478,99.5529,188,Special Activities Section,441,146320
478,95.5294,80,Bureau Of Internal Affairs,121,27797,98.4563,160,Freedom Of Information Section,214,88248
502,36.2646,15,District 014,014,32098,43.9456,153,Gang Investigation Division,193,49884
502,36.2646,15,District 014,014,27392,86.8366,40,Detail Unit,057,49884
515,51.1176,11,District 010,010,8026,78.7933,26,District 025,025,179193
533,87.7995,183,Gang Enforcement Division,393,13303,93.8405,27,Executive Officers Unit,026,61490
556,56.5409,10,District 009,009,20913,94.9792,9,District 008,008,134868
569,78.0100,112,Traffic Section,145,981,36.9417,112,Traffic Section,145,138789
572,74.2157,225,Public Transportation Section,701,7754,62.7756,189,Bomb Squad,442,160944
576,91.3989,212,Detective Area - South,620,12478,99.5529,188,Special Activities Section,441,18338
603,21.4436,27,Executive Officers Unit,026,27274,87.1232,204,Central Investigations Division,606,162493
603,21.4436,27,Executive Officers Unit,026,14808,24.8596,2,District 001,001,162493
624,63.0114,15,District 014,014,7260,63.8073,180,Alternate Response Section,376,75170
632,83.6728,10,District 009,009,29215,70.3068,11,District 010,010,90588
650,99.8586,4,District 003,003,16617,93.7756,21,District 020,020,107157
