id,complaint_percentile,unit,is_sup
79,48.5586,District 018,0
5714,73.6082,District 015,0
13540,72.0182,District 018,0
15795,95.7013,District 011,0
21118,98.2920,District 001,0
22127,90.4169,District 010,0
25902,41.2839,Public Transportation Section,0
32303,73.5432,Intelligence Section,0
31974,94.0392,Gang Investigation Division,0
2654,46.3184,Detective Area - South,0
5563,82.3214,District 005,0
18447,32.6907,Detached Services - Miscellaneous Detail,0
25049,36.8752,District 001,0
25873,64.5333,District 008,0
29490,52.8791,Juvenile Intervention Support Center (Jisc),0
30293,60.6696,Juvenile Intervention Support Center (Jisc),0
5618,97.8210,District 020,0
6397,95.3307,Gang Enforcement - Area South,0
8956,43.5760,District 019,0
9001,93.1069,Airport Law Enforcement Section - North,0
10928,84.2345,District 012,0
19598,68.4116,Public Transportation Section,0
26774,63.4213,District 022,0
29445,95.1358,Gang Enforcement - Area Central,0
10442,89.4821,District 009,0
16020,21.6499,Detective Area - Central,0
21938,83.7148,District 004,0
32072,81.3649,Narcotics Division,0
32376,80.3294,Gang Investigation Division,0
632,83.6728,District 009,0
3557,39.8342,Narcotics Division,0
5075,89.1254,District 024,0
7371,83.4282,District 005,0
8691,97.4017,District 019,0
15437,63.8684,Detective Area - North,0
25910,52.4474,Public Transportation Section,0
26530,88.2236,District 025,0
28383,90.8219,Gang Enforcement - Area Central,0
31027,60.8224,Central Detention Unit,0
32198,95.6440,Narcotics Division,0
3719,47.4711,District 015,0
7414,76.2042,District 001,0
10612,70.8206,District 025,0
18023,79.4161,Detective Area - North,0
23253,93.6533,District 022,0
24659,54.6051,District 019,0
6216,70.2648,District 012,0
7322,75.0869,District 016,0
10171,95.8160,Detective Area - North,0
14630,98.2805,District 005,0
17502,64.5002,District 010,0
24760,69.1916,Arson Section,0
26535,98.5495,District 001,0
29817,93.5616,District 022,0
32098,43.9456,Gang Investigation Division,0
32427,80.6503,Narcotics Division,0
31972,74.4030,Gang Enforcement - Area North,0
381,20.3086,District Reinstatement Unit,0
11800,28.0005,District 017,0
19375,56.6963,District 014,0
19878,68.4116,District 014,0
26174,56.8481,District 008,0
26348,18.8972,District 018,0
29253,0.0000,District 014,0
2849,77.8266,District 022,0
4481,87.2951,Detective Area - South,0
6182,45.6727,Field Services Section,0
9018,39.4750,District 003,0
14101,86.9206,District 012,0
14208,73.5432,Forensic Services Evidence Technician Section,0
15126,68.5033,District 017,0
19855,86.8175,District 007,0
23747,61.0867,Narcotics Division,0
22094,88.1013,District 004,0
26384,90.3443,District 016,0
28073,30.3848,Traffic Section,0
29299,94.2150,District 009,0
30710,81.6094,District 002,0
30111,95.9938,District 006,0
32164,99.8472,Narcotics Division,0
32260,37.7861,Gang Investigation Division,0
4263,91.6434,District 005,0
13954,61.0583,Airport Law Enforcement Section - North,0
18149,83.1972,District 003,0
29036,61.0484,District 004,0
31923,75.9505,Gang Investigation Division,0
32282,64.5791,Detached Services - Goverment Security,0
3558,94.7881,District 010,0
5096,58.0031,District 015,0
14616,83.5772,District 017,0
14275,24.3323,District 016,0
19976,51.1597,District 019,0
19491,88.1367,District 011,0
25306,99.2587,Gang Investigation Division,0
28608,77.1891,District 002,0
29882,94.1194,Bureau Of Patrol,0
30389,88.3697,Narcotics Division,0
30933,93.4278,District 024,0
32322,97.7953,Narcotics Division,0
10129,31.6073,Detective Area - South,0
10697,76.5782,District 001,0
12751,71.0767,District 018,0
27163,61.0438,District 005,0
29881,68.0838,District 017,0
32080,26.8274,Vice & Asset Forfeiture Division,0
727,47.4800,Gang Enforcement Division,0
885,92.0446,Detective Area - South,0
5247,49.6771,District 009,0
7862,85.8087,District 003,0
8274,85.9660,District 002,0
8776,64.5002,Special Functions Division,0
9964,84.1275,Detective Area - North,0
12042,56.6665,District 011,0
17512,24.8935,District 006,0
20254,87.3366,Narcotics Division,0
27063,74.4832,Forensic Services Division,0
31815,97.1457,Gang Investigation Division,0
31980,92.8585,Gang Investigation Division,0
32165,93.3132,Narcotics Division,0
