allegation_id,officer_id,unit_id,description,nudity_penetration,sexual_harassment_remarks,sexual_humiliation_extortion_or_sex_work,tasers,trespass,racial_slurs,planting_drugs_guns,neglect_of_duty,irrational_aggressive_unstable,searching_arresting_minors
44081,8562,119,Special Functions Support Unit,false,false,false,true,false,false,false,false,false,false
35945,8562,119,Special Functions Support Unit,false,false,false,false,false,false,false,false,false,false
35426,8562,119,Special Functions Support Unit,false,false,false,false,true,false,false,false,false,false
34742,8562,119,Special Functions Support Unit,false,false,false,false,false,false,false,false,false,false
39828,8562,119,Special Functions Support Unit,false,false,false,false,true,false,false,false,false,false
37623,8562,119,Special Functions Support Unit,false,false,false,false,true,false,false,false,false,false
34890,8562,119,Special Functions Support Unit,false,false,false,false,true,false,false,false,false,false
37644,8562,119,Special Functions Support Unit,false,false,false,false,true,false,false,false,false,false
34901,8562,119,Special Functions Support Unit,false,false,false,false,true,false,false,false,false,false
40529,8562,119,Special Functions Support Unit,false,false,false,false,true,false,false,false,false,false
45680,10965,2,District 001,false,false,false,false,false,false,false,false,false,false
38496,5913,12,District 011,false,false,false,false,false,false,false,false,false,false
32970,5913,12,District 011,false,false,false,true,false,false,false,false,false,false
19668,5913,12,District 011,false,false,false,true,false,false,false,false,false,false
1019,5913,12,District 011,false,false,false,true,false,false,false,false,false,false
175842,5913,12,District 011,false,false,false,true,false,false,false,false,false,false
47513,5913,12,District 011,false,false,false,false,false,false,false,false,false,false
46715,5913,12,District 011,false,false,false,false,false,false,false,false,false,false
10838,5913,12,District 011,false,false,false,true,false,false,true,false,false,false
1019,5913,12,District 011,false,false,false,true,false,false,false,false,false,false
175842,5913,12,District 011,false,false,false,true,false,false,false,false,false,false
51288,9519,215,Detective Area - North,false,false,false,false,false,false,false,false,false,false
36838,9519,215,Detective Area - North,false,false,false,true,true,false,false,false,false,false
19515,9519,215,Detective Area - North,false,false,false,false,false,false,false,false,false,false
18310,9519,215,Detective Area - North,false,false,false,false,true,false,false,false,false,false
11809,9519,215,Detective Area - North,false,false,false,false,false,false,false,false,false,false
32970,12009,191,Forensic Services Unit - Et South,false,false,false,true,false,false,false,false,false,false
110714,25435,10,District 009,false,false,false,true,false,false,false,false,false,false
40456,10951,225,Public Transportation Section,false,false,false,false,false,false,false,false,false,false
46279,17611,9,District 008,false,false,false,true,false,false,false,false,false,false
49989,23538,179,Special Weapons And Tactics (Swat) Unit,false,false,false,true,false,true,false,false,false,false
36169,10923,191,Forensic Services Unit - Et South,false,false,false,false,true,false,false,false,false,false
3878,13777,6,District 005,false,false,false,true,false,false,false,false,false,false
177727,13777,6,District 005,false,false,false,true,false,false,false,false,false,false
3277,13777,6,District 005,false,false,false,false,true,false,false,false,false,false
177317,13777,6,District 005,false,false,false,false,true,false,false,false,false,false
55914,13777,6,District 005,false,false,false,true,false,false,true,false,false,false
44374,13777,6,District 005,false,false,false,true,false,false,false,false,false,false
39781,13777,6,District 005,false,false,false,true,true,false,false,false,false,false
13915,13777,6,District 005,false,false,false,true,true,false,true,false,false,false
3878,13777,6,District 005,false,false,false,true,false,false,false,false,false,false
177727,13777,6,District 005,false,false,false,true,false,false,false,false,false,false
